Robert M.,"Evanston, IL",5/19/2017,5.0,"A man sitting on a step nearby this place told us to try it. We did.it was amazing. Not that there is any connection, but I have a Chinese wife and have lived many years in China, and this food is nowhere there. It's now tied for #1 best chinese while straight (that I've tried), the other being in lowly Villa Park, Illinois. Both places have less than stellar facilities, and the staff isn't special, but the food is just great."
Michelle P.,"Washington, DC",5/9/2017,4.0,"When I stepped in, it felt like I was being transported to Hong Kong, this place is as Asian as you can get.  There's even a display of tea pots and cups and other things for sale. I ordered a blooming flower tea and my friend got a pur err which is basically what I'd like to call the whiskey and bourbon or wine of the tea world since they age it for so long.And like anything aged, it's great for your health although on the medicinal side. When you order the pur err you get a tiny tea ceremony if you are looking for a ""zen"" experience. How it works is they give you a pot of hot water and a tray with a tea pot, a pouring cup and a tea cup. You pour the hot water in the tea pot and wait for it to seep, then in to the pouring cup so the tea won't over seep, the pouring cup is called the ""ocean of tea"" and from there you pour it into the cup... which I forgot the name of. Occasionally you'd want to give the tea pot a bath in hot water or tea so it would maintain the temperature or if you are like me and just like playing with your food! If that's the case buy a tea pet, go ahead and google it then thank me."
Chris D.,"Centreville, VA",2/18/2017,5.0,"This is place is a GEM!You can walk by it without even noticing it but it's a must try. Neat little shop where they're selling teabags, pots, and other traditional Chinese items. They have table seating and a small padded floor seating area which all sits in the store itself. They serve wonderful small plates, dumplings in particular and the tea selection is great! Slightly pricy but nothing to complain about. Great experience! Will definitely be back again!"
Michael L.,"Seattle, WA",4/8/2017,4.0,"This place was great! It's a little place right next to Filomena's on Wisconsin St. My lady and I went here for tea on a weekday morning and I've never been to a place just for tea. I can't remember which tea I ordered but it was $12 and lasted through 8 pours. There are tables throughout the place to sit and enjoy your tea, but we opted to sit down next to one of two low tables where you need to take off your shoes. Overall, love this place!"
Amber G.,"Arlington, VA",8/16/2016,4.0,"This place is pretty weird.... It doesn't feel like it belongs in Georgetown and at first glance it looks more like an Asian antique and herb store than a place to sit down and eat. On top of that there's that name: Ching Ching Cha. Can't help but chuckle. But ""cha"" means ""tea"" in Chinese so we'll let the ""ching ching"" part slide I guess....This is actually a great place to come if you enjoy tea - they have something like 70 different options to try and bags of dried tea to buy to take home. It's a very quiet and open space inside that actually feels pretty calming. Lots of rosewood and overhead skylights.  The food is tasty and really healthy. You can get a ""tea meal"" for $14 which comes with three veggie sides and a main entrée. I got the miso salmon, cucumber, snow peas, and cabbage and was pretty impressed. The salmon was steamed and so moist and the veggies were mostly served raw but with really flavorful soy sauce/sesame-based sauces on them. They also have small items like dumplings and chicken rolls. I also got an apple flavored iced white tea for $4 and it was a pretty huge glass of it. Not too sweet and you can really taste the quality of the tea. A cute place to come in Georgetown for some quiet tea or healthy Asian food options."
Genesis D.,"Washington, DC",1/28/2017,5.0,"Great tea house experience! Went here for Chinese New Year for kicks and giggles with this company. There was no special for Chinese New Year, which is fine. The lotus moon cake was surprisingly good but they pineapple square was soooo good too. Yum!! I had the chrysanthemum tea and chicken roll. Both great."
Janice D.,"Glen Echo, MD",10/16/2016,5.0,"One of the few places in Georgetown -- or DC in general -- where you can be far from the madding crowd and find some peace. And Fabulous tea. (Which are the same thing, I'd argue.)When you enter, you'll be in a little entryway that pulls you in with a beautifully cultivated selection of porcelain teapots, other teaware, and sparkling clean little bins of loose tea. I've found some wonderful, truly unique gifts for tea-loving friends here, including serious (and seriously beautiful) tea canisters decorated with gorgeous cherry bark.Move in further, and you can hear the gentle music, and not much else. It is hushed and relaxed. The skylight above the small yet open dining area adds to the calm.The food is simple, flavorful, and beautifully presented. The menu isn't wildly extensive, but there has always been something delicious for each of the lucky friends I've introduced to this oasis. There are vegetarian options, though to skip their sparkling fresh seafood (especially perfectly prepared salmon) would be a shame. Flavors are well-paired, inviting you to eat slowly and mindfully.And the tea! I'd been searching for a good, full-bodied pu-ehr tea to help me curb my coffee habit, and with guidance from my server, found the one I'd been missing for years, and priced comparably to the online specialty tea shop from which I'd previously purchased.Go and soothe your harried DC soul!"
Victoria H.,"Washington, DC",4/3/2017,5.0,"This place makes for a lovely Chinese tea time. They serve meals and tea snacks in addition to a full menu of teas. I like sitting on the floor (they provide floor pillows) and you take off your shoes so you can get really comfortable. They have regular dining tables as well. Each tea order is for an individual patron, but they provide you with an endless heated pot of water so that when you finish your first pot of tea, you refill your tea pot with the hot water and let the tea steep again. Each pot of tea is good for at least 6 refills, which makes for A LOT of tea. You get your money's worth with each pot of tea ranging from $6-$18. My favorite tea is the Eight Treasures tea. It has dates and goji berries and flowers and longan--they give you a spoon so you can eat them at the end, although they taste a little diluted with all the water they've been soaking in. The only food I've tried here is the marbled egg, which is only $1.50 per marbled egg, which they slice into fourths. It's a little salty, but I think it's delicious and served with sesame oil. I've seen other patrons bring in their laptops and do work while drinking tea, so this serves as a study cafe as well. I've enjoyed tea for a 2-3 hours here at a time, so they do not rush you (although I came during the weekday when it wasn't busy)."
Alyssa B.,"Washington, DC",8/27/2016,4.0,"My family and I used to come to ching ching CHA often when I was a kid (about 15 years ago), but stopped going when the food started to go downhill a bit.  Recently, we were in Georgetown and needed a nice place for lunch that's not too expensive.  We remembered ching ching CHA and decided to give it another try.  We're so glad we did!  The prices are pretty much the same as 15 years ago (a huge bonus, since most places increase their prices over the course of a decade or two), but the quality was actually better.  My mom and I both had the chicken curry tea meal ($14).  It was lovely and consisted of the main dish, rice, 3 veggies, and soup.  The flavors were simple, but tasty.  My dad had the cold noodles which were delicious as well.  The food here is pretty authentic for a Chinese tea house in the U.S.  It was similar to tea meals I've had in Taiwan (although Taiwanese and Chinese teas are quite distinct from one another).  It's definitely a far cry from the Americanized orange chicken and kung pao beef often associated with Chinese cuisine in the states.  The food here is quite healthy and light-- low sodium, low oil, and steamed.  My biggest issue was that they told me that I could have the apple jasmine green tea without any sugar.  I'm not a fan of sugar in my tea, so I ordered it that way. When it came, it was still SUPER sweet.  It turns out that when they said ""no sugar"", they meant no additional sugar, but the apple juice itself still has a ton of sugar in it.  It's a little misleading.  They replaced my drink with a regular iced Jasmine tea with no sugar.  This time, it was significantly less sweet, yet it still had a sugary aftertaste.  My guess is that they dumped the original drink out and added the new tea in without rinsing the glass out.  Not super impressed by that.  Other than that though, the tea was good.  Service was polite and friendly.Overall, a good and unique find in Georgetown.  Like many have said it has a cute and relaxing atmosphere, as well.  If you're in Georgetown and you're in the mood for something a bit different and reasonably priced, head over to ching ching CHA!"
Alan V.,"Washington, DC",4/3/2016,4.0,"Found this place via Yelp and figured we should try it out since we were close by. At first, when walking through the front door my friend and I felt as though we were walking into a vintage bookstore. As we progressed through the entryway, a waiter quickly appeared and welcomed us to a table.Now the interior of this place threw me off a little. I hate using this word, but it was very oriental. I swear there was a scent reminiscent of incenses which is odd because it's a tea place but maybe that was my mind messing with me. Off towards the center of the cafe/restaurant were a variety of books and tea available for purchase. We were seated off to the side of the restaurant at a table. Behind me were lower wooden tables with pillows as seats instead. My friend and I ordered the peach blossom and harmony tea, as well as vegetable dumplings and the pork roll. The peach blossom tea was served in a glass mug/cup, and the tea leaves slowly blossomed as time went on. The harmony tea was served in a small tea pot, and we were provided with one small tea cup to pour the tea into. I wanted something fruity, so when I tried the harmony tea I wasn't disappointed. The tea was sweet but not too sweet, definitely retaining the bitterness that tea leaves are known for. My friend and I noticed that as time went on, both of our teas became more bitter which of course makes sense, but for some odd reason passed our minds. The food offered was mostly appetizers, consisting and things you see at many other Chinese restaurants. The dumplings weren't completely mind blowing, as well as the pork rolls, but as appetizers they served their purpose. And as they were coupled with tea, it attributed to creating a lax atmosphere, in addition to the regular decor. One thing I would have liked more would be a bigger food selection (entrées) since we were starving. But it makes sense since this primarily a tea house. Also, I know this place operates off of Chinese culture, but I almost felt as though the entire place was created and marketed as... too commercialized. Lastly, the lighting was a little too dim for where we sat, as compared to the other side of the cafe. Overall though, this was a nice place to relax and catch up with friends. The tea was great, and everything felt warm to the heart. If I was in the mood, I would definitely come back!"
