Chad P.,"Sunnyvale, CA",9/15/2017,5.0,"Started with bruschetta! Wonderful. Also with fried green tomatoes. Crispy. Dipping aioli was great!For entree, had the Rib Eye medium-well. Great! Sides were Sautéed spinach with garlic. Green peas, cucumber and mint. Great!Dessert included cookies, ice cream, and decaf Americano. Lovely!"
Carmen V.,"Washington, DC",9/14/2017,4.0,"I ordered the breakfast chicken and waffles and promptly fell in love.The chicken was fried to tender deliciousness and the waffle was thick. I couldn't even finish it. Luckily, my friend lended a helping fork. We walked in with a group of six around 1:45 and were seated in 15 minutes. Words of wisdom: the breakfast kitchen closes at 2:30, so get your orders in quick if you come late to brunch like us! Luckily, the waitor warned us. If you want a bright and cheerful atmosphere, this is the place to go. The windows are huge--letting in tons of natural light. Get a cocktail while you're here. The bartender kind of sits in the middle of the space. Our table was right next to the bar, so I saw a procession of mixed-drink-mania floating by. All looked delectable and carefully prepared.Overall: This place is incredibly accomodating. The waitor was slower than most, but the restaurant was PACKED...so I give him a pass."
Zhou W.,"Salinas, CA",9/14/2017,3.0,"Founding Farmers is one of those DC restaurants everyone talks about. I had a friend stay with me during the summer and she loved the experience...and maybe the service was really backed up that day, but I found the food sub-par. The place, however, is beautiful--nicely decorated, and the restaurant is packed with people that gives the ambiance of Founding Farmers the place to be on a Sunday brunch. Back to the food. I ordered the eggs benedict, while my friends ordered the peanut butter toast with chocolate pearls and bananas. While the toast was good (and photogenic...I regret not taking pics *facepalm*), I didn't think the plate was worth the price. Then, my eggs benedict came in. the eggs were entirely cooked through. Not the worst issue to have, but I order eggs benedict because restaurants can poach eggs in a way that I cannot. I was kind of upset! I sent the dish back, and the waiter was really nice to replace the dish. However, this time around, the eggs were just barely soft boiled. Overall, the ambiance was nice, and the waiting staff were really nice and thoughtful--however, given the food, I might just need to give this place another shot on a less busy day."
Ben L.,"Queens, NY",9/4/2017,5.0,"I went to this place because it is in the top ten most reviewed restaurants on Yelp and I thought this place was fucking awesome!!!!! The place is hugely popular, so make sure you get there early, my party got lucky since we only waited 30 mins on a Saturday at 9:30am. The restaurant is a pretty big size with two floors, I liked the decor, it was modern and super comfortable. The restaurant is only a few blocks from the White House so we walked there afterwards.The food:Strawberries & Cream Farmhouse Waffle- This was the shocker dish and the favorite of the table. The waffle was from the recommendation from our awesome waitress. Truth be told, I wouldn't have ordered it since it seems kinda basic but it was so damn good. The waffle had a great mix of soft center yet crunchy exterior, I really loved the strawberries and their homemade whip was excellent. This is a must order. yelp.com/user_local_phot…Hangover Hash- Chili, pimento cheese, cheddar. I was surprised at how much I enjoyed this dish, it had so much cheesy and potato-y goodness. There is a slight kick from the pimento that cuts some of the richness and the texture of the egg was nice but too bad the yolk was not runny =( It really speaks volumes how much I enjoyed this dish even though the yolk was overcooked. Only if that yolk was runny, it woulda been heaven! yelp.com/user_local_phot…Banana Foster Buttermilk Pancake- The texture of the pancake was so light and airy, I really enjoyed the flavor and I liked how it wasn't too sweet. I enjoyed this dish but the bites do become a little too repetitive so this is definitely a dish to share. yelp.com/user_local_phot…Fresh Squeezed Orange Juice- I never mention beverages in my reviews but their OJ was excellent. Black Pepper Maple Thick-Cut Bacon- I thought the flavor of the bacon was great but I wasn't a fan of how thick cut the bacon was. I like my bacon to be crispy and this bacon came off a bit chewy. It was just so so."
Siyun Z.,"Brooklyn, NY",9/7/2017,3.0,"I was really excited to try Founding Farmers with so many good reviews, but it ended up being my least favorite restaurant during my trip to DC. I felt like the prices were a bit high for what they were serving.We were seated quick when we arrived at our reservation time (7:30pm). The restaurant is huge! I believe there is two floors. We ordered:Fried Green Tomatoes ($9)-These came with two spreads. They were just okay. I wouldn't order these again.Short-ribs with side of mash potatoes and Mac and Cheese ($30)-The short ribs were good but a lot of it was fat and we couldn't eat it. The mash potatoes and Mac and cheese were okay. Kale Salad ($9)-This is our effort in trying to not be complete fatties. The salad was good and refreshing. I'm glad we got this since everything else order was very heavy.Overall an okay place for dinner. I don't think I would come back as there are better restaurants in DC with less of a crowd and more unique options."
Christopher V.,"Chicago, IL",8/30/2017,3.0,"Founding Farmers is cool. I didn't love it, didn't hate it. ..just cool. The bacon with Black Pepper Maple Glaze is incredible, everything else is solid. The pancakes had the crispy edges I deem mandatory, but didn't have much flavor. The breakfast sausage links are the size of brats. I didn't like the flavor so sent them back for more bacon. The Leek Hash Browns were a missed opportunity to be great. 2 stars for breakfast, added additional star for service."
Lana Y.,"Grand Prairie, TX",9/13/2017,3.0,The food was not that exquisite for the amount of time we waited to eat here. We found this place on yelp and it was last minute and of course we didn't know we needed reservations otherwise we would have decided on this place much earlier in the day and made a reservation.  The crowd here...snooty and not really my style.  The food was ok and the service was fine....not really any complaints.  No one went out of their way to make us feel welcome. After waiting so long...being at the point of no return since we had already waited so long...gotta eat here now.  Very small waiting area for the amount of people that had to wait. It was just a very bad experience.Don't even go near this place without a reservation...if you haven't gathered that from the above statements.
Alex L.,"Buffalo, NY","8/28/2017
            





Updated review",4.0,"I had such an incredible meal at Founding Farmers two years ago, I knew I had to come back. Despite the 30 minute wait, we hungrily waited and my expectations were high. I was starving. We placed our order fairly quickly once we got seated since we had a lot of time to familiarize ourselves with the menu while waiting.Got the prosciutto toast to start and it was as delicious as remembered. Toasted crostinis with a a fig marmalade, marscopone, balsamic vinegar and thin cuts of meat. Absolutely divine and we gobbled them up fairly quickly.My meal, the 14oz prime rib ""salt crusted"" was disappointing however. While the food came out very quickly, I did not enjoy the prime rib. The actual meat had no seasoning and only the side of it had such a heaping amount of salt it was actually inedible. It was also very chewy and less tender than previous prime rib's that I've had. I ordered it medium rare and to their credit was cooked to order. The garlic mashed side that I had with it was delicious though.My wife + her niece enjoyed their meal immensely. I left sad and a little disappointed because after waiting for 30 minutes and two years for a repeat experience, it was not the incredible-ness that I wanted it to be. Guess I should have ordered something else...The waitress did come by to check up on us, but when she asked how everything was, I was busy chewing the chewy piece of meat and my wife and niece quickly remarked that it was ""very great."" I'm not always one to speak up, but I may have said something, but at the same time I didn't want to sour the experience that my wife and her niece were having with the food.I'll still come back, but I will probably avoid their steak / prime rib dishes next time."
Chris R.,"Alexandria, VA",9/11/2017,4.0,"I've been to the Founding Farmers in McLean, but this was the first time I'd made it to this location and for the most part, for breakfast anyway, I think I prefer this location.The service was a little spotty and kind of slow in an only mildly annoying way, but the food was excellent.  When I arrived, I was told it would be a 30 minute wait, but they actually texted me after about 15 minutes.  They seated us a family style table meaning there were three groups of people at one table - none of whom knew each other...kind of like restaurants in Europe.Unlike the brunch that's served at the McLean location, this one serves traditional breakfast.  I ordered the FF Breakfast with scrambled egg whites, chicken apple sausage, grits, and an English muffin.  The egg whites, which can easily be boring, were AMAZING and seasoned perfectly.  The chicken apple sausage was seasoned perfectly as well (I actually wish they had given me two instead of one).  The grits were creamy and cooked well.  The English muffin was good and was unexpected because it was an actual, thick, homemade sourdough English muffin.  Nothing about the  food was bad at all.The reason for the four stars was because the service was a bit slow at times.  My friend ordered the French toast (which was also amazing), but oddly, it came within a few minutes after it was ordered, but then the rest of the food came out about 20+ minutes later which I thought was a bit rough.  Also, I would really like to know what the nutrition information for the food at this place is.  Being 2017, it should be readily available, but unfortunately it's not.I will definitely be back.  I love this place - the food is awesome."
Michael B.,"Lexington, MA",9/12/2017,4.0,"Founding Farmers is a fantastic concept that delivers high end food that is fresh from local producers and made to order for you.  Everything about Founding Farmers is top notch including their food sourcing, preparation, service, and most importantly the end product.  We stopped in for breakfast and were delighted with our first experience.  Freshly squeezed orange and grapefruit juices and an Americano alongside water served in classic, old milk bottles adorned the rustic table.  The entire look and vibe of the restaurant fits the total food experience too.  First on the menu to try were the beignets.  A brown paper bag of made to order balls of delight; crispy outsides and moist insides topped with a sprinkling of powdered sugar.  They were hot and went great with the coffee and the three dipping sauces (chocolate, caramel, and berry).  Sinfully delicious!  For main meals we ordered the Farmers breakfast with 2 eggs any style, crispy hash browned potatoes, choice of side (how can you refuse the applewood smoked bacon) and choice of bread which we chose a buttered and toasted ciabatta.   We also ordered the traditional eggs Benedict serviced with ham over a toasted English muffin and served with those same crispy hashed browns.  Everything looked great, was well prepared and presented, and tasted just as wonderful.  The fact that the poached eggs were not overly smothered in hollandaise sauce was a bonus as each bite could taste the egg, the ham, the muffin and the sauce.  Well done!There was no room for dessert, but we are sure to stop in next time and try the lunch and dinner menus too."
James B.,"Porter Ranch, Los Angeles, CA",9/11/2017,3.0,"Holy moly this place is busy! The hype is real, but it doesn't live up to it.That said, if you plan on coming here without a reservation during peak times, the wait can be up to 2.5 hours so make a reservation! I made a reservation and they honored the time almost to the dot even when it was super busy. Fried Chicken & Waffles (2.5 Stars**) - one of the most popular dishes, which I thought was good, but not great. I thought that the skin was way too soft and damp for fried chicken. I was expecting the fried chicken to be more crispy.Service (4 stars****): the servers are friendly and efficient which is to be expected in a place that's this well-reviewed."
Kathryn T.,"Manhattan, NY",8/19/2017,4.0,"I finally did it. I tried Founding Farmers. After years of having this place on my list (thank you, Food Network), I've finally been able to check it off the list. So what can I say that over 9000 people haven't?Here's what you need to know:1. The reservation is absolutely necessary. Even so, expect to wait at least 30 minutes to get seated. I went in on a Monday night and found myself waiting longer than some other top restaurants in NYC.2. The portion sizes and meal options are so reasonable. Keep in mind that you're here for typical American fare. Don't expect anything too far out of the new American realm.3. The prices make this a good spot for everyone. There's a range of choices to fit everyone's budget.4. That cornbread. Get it or your meal didn't happen.5. Drinks are made of the Founding Farmers' distilled alcohols, which made them ridiculously delicious. It's a solid place that's a reasonable price but I wasn't completely blown away. It's a solid choice in DC but I think there are other delicious/more trendy options in the DC area"
Kelly C.,"Anaheim, CA",8/20/2017,4.0,"Came here for some prime rib, medium rare. It was a little overcooked to medium well but still good. Became more chewy and dry towards the end. Some parts were very salty tho but then again it's called the salted prime rib lolBut omg the spinach and mac and cheese that came with it was soooo delicious! Very savory and I liked the pasta used for the Mac and cheese :)"
Nita R.,"Sacramento, CA",8/15/2017,5.0,"Ok so this was a great experience!  First kudos to the reception staff. I had made a mistake about the day of our reservation. They found it from the day before and squeezed us in (party of 6).  They have a line of people waiting for seating and trust me it is so worth it. My only complaint is that I couldn't take the restaurant with me. So for starters we had the absolutely delicious, crispy and freshest potato chips. Yes they are house made with all this yummy goodness for dips. We also had AMAZING deviled eggs. Yep with seafood yep yum, yum. I ordered a vanilla milk soda and that was different,  but good too. For dinner on the table was thus delicious delicious chicken, tender succulent short ribs a phenomenal pork chop....can you say AMAZIN. Really. Then to top it off dessert no we didn't have time but I had to do it. Had to have the mousse for two and the carrot cake. Makes me wanna cuss it was so good."
Iris S.,"Providence, RI",9/9/2017,5.0,"This place is as good as I remember! As I planned my sister's trip to DC, this was the top of my list of places to dine. We made a reservation for 7 pm and were seated around 7:15. (This place is insanely busy! Do not try to come here without a reservation... we came on a Thursday and it was still packed!). This location is a dual leveled, rustic restaurant with a mixture of communal tables and private tables. The bar is stocked with every liquor you can imagine. The waiting area is lined with jars of preserved fruits and vegetables. It is filled with cooking books that you can look at as you wait. We shared the clementine cocktail (which was very refreshing. Strong pour and plentiful amount), We started with the brie/apple/caramalized apple bread app (this was HUGE. This starter has three delicious 5 inch pieces of freshly made bread with the toppings as listed. We couldn't finish it and brought it back to our hotel for breakfast. Stores well at room temperature). For entree we shared the reuben (melt in your mouth beef on thick cut homemade corn? Bread and lightly dressed julienne Cole slaw with just a hint of thousand island) and the ahi tuna salad (lots of course greens, fresh chunks of ahi tuna, fried wonton skins and delicious dressing). We did not have room for dessert but I am sure it would have been fantastic. We could have went to a new restaurant for dinner but I am glad we chose this one. Now if only they would open a few satellite restaurants in other cities..."
Tung D.,"New York, NY",8/10/2017,4.0,"Lived up to its hype.I ordered the short ribs and it was very tender, and the sauce was very good - not as overly sweet like regular BBQ sauce. The meat was very enjoyable and had nice meaty flavor. The double whipped mashed potato was also very tasty. The nice flavor of potatoes really stood out! It was creamy but not overly creamy. The melon salad was also good. Everything in this dish was very well balanced.The only thing I didn't like was the Rikey soda. It was basically lemonade with some syrup for $4.Price was a little high-end. $40 for this treat. Make sure you reserve on OpenTable. I first got here in the morning, but wasn't interested in the breakfast menu, so came back for lunch instead.Convenient location near the National Mall too!"
Chloe G.,"Kansas City, KS",8/7/2017,5.0,"I truly can't say enough about how amazing Founding Farmers was. I am so disappointed they aren't in Kansas City. I was in town for work and they were recommended to us. We loved it so much we went their twice. From appetizers to deserts, everything was delicious. We had excellent service both times and truly enjoyed our meals.The first night we had the bacon lollies and the prosciutto bread. I had ravioli for my entree and tried the beignet for desert. All of it was perfect, but far too much for me to eat. The beignets are definitely for a bigger group of people to share. The second night we had the crab dip, I got gnocchi, and we all got a slice of apple pie. That crab dip was one of the best I've ever had. I didn't love the gnocchi as much as the ravioli, but still good. The apple pie was heaven. Others in group got steak and shrimp risotto. They raved about their meals as well. This is a must stop when you're in DC. Atmosphere is spot on, service is excellent, and food is top notch."
Sheila C.,"Union City, CA",8/3/2017,2.0,"Everyone recommended this place to us so we definitely had to try! We made a reservation for Friday around 4.30pm since that was the only slot available. The next slot would be at 9.45pm and that was too late for us. When we got there, we had to wait a while to get seated. The place was really busy. We got cornbread for our appetizer. We didn't realize it was going to be big so my bf ordered two. I got a scallop risotto and my bf got crab cakes. My bf also ordered us some drinks. The cornbread was delicious and huge! I basically got full eating that. My scallop risotto looked yummy but it didn't taste good. The scallop was okay but the risotto was really hard. Tasted like uncooked rice, bleh. It was also a bit salty. My bf's crab cakes wasn't good at all. They made two crab cakes but they were really small. It came with fries and spinach. The crab cake tasted more like bread. Very disappointing! :( Despite the food not exceeding our expectations, service was pretty good. Our server was nice and attentive. I would like to come back and try something different. Hopefully we'll have a better experience the next time around."
Zach L.,"Washington, DC",8/10/2017,3.0,"I know, I know, this place has been open for years now and I'm just finally getting around to checking it out. I've been for brunch at farmer's, fishers and bakers which I enjoy even if the food isn't amazing.Well, I finally stopped by for a weekday lunch and this place was packed. Packed as in not enough room to wait inside, packed. No worries, we had a reservation which I highly recommend here otherwise you might be waiting awhile. I tried the cornbread to start which was actually surprisingly delicious and my favorite thing I ate here. I also tried the ahi tuna poke salad which was fine but nothing special. The mashed red potatoes, again solid. And some of the lobster Mac and cheese which was pretty disappointing. They do give you a hefty portion of lobster (just ok flavor wise) but as a big Mac and cheese fan I was pretty unimpressed. The pasta was way too chewy, the portion of noodles was small, the bread crumbs had an odd taste to them, and the cheese they use is all wrong. I would save your $28 and order something else than the lobster Mac and cheese. Overall I left relatively confused why this place draws such big crowds when there are far better restaurants downtown. Then it dawned on me, there really aren't many decent full service restaurants in this section of downtown. There are a few equally mediocre options in foggy bottom but those are basically all national chains. This immediate area could use a few more restaurants!"
Claudia R.,"Nashville, TN",8/6/2017,4.0,"What a hip spot. Definitely a go to for locals and tourists alike. Came here late at night and they still had a 45 minute wait, so this place is really happening. But they actually got us seated a little quicker than that which was nice.Friendly staff. Waiter was attentive and knowledgeable on the menu (I'm vegan so I have to be picky). Speaking of vegan, they've got tons of meatless options, which was nice! I got the cauliflower ""steak"". Paid $16 for some cauliflower put on the grill, but hey, you're paying for the ambience I guess.My friend got the ahi salad which looked great! They have a great drink and dessert menu as well. Would've gotten some sorbet if I hadn't been so full!Loved this place and the whole environment. A neat spot in DC."
Abhishek S.,"Pflugerville, TX",7/28/2017,5.0,"Finally got a chance to check out Founding Farmers on our recent trip to DC. Pro tip: please call and make a reservation in advance, typical wait times are around 1.5-2 hrs. We saved the wait by calling in advance, and were seated right away. Note that you won't be seated unless all members of your party arrive.The servers always had a smile on their face and were super friendly and nice. The menu choices were plenty and the portions were huge. There is something for every palette. The dessert we ordered was god for 4 people and there was plenty left to take home.Would love to come back and try other things off their menu, loved the experience!"
